group_name,body,description
"apache,",^[error],Apache error messages grouped.
"apache,",^[warn],Apache warn messages grouped.
"apache,",^[notice],Apache notice messages grouped.
"apache,",exit signal Segmentation Fault,Apache segmentation fault.
"apache,",denied by server configuration,Attempt to access forbidden file or directory.
"apache,",Directory index forbidden by rule,Attempt to access forbidden directory index.
"apache,",Client sent malformed Host header,Code Red attack.
"apache,",authentication failed,User authentication failed.
"apache,",user \S+ not found|user \S+ in realm \.* not found,Attempt to login using a non-existent user.
"apache,",authentication failure,User authentication failed.
"apache,","['File does not exist: |', 'failed to open stream: No such file or directory|', 'Failed opening']",Attempt to access an non-existent file (those are reported on the access.log).
"apache,",Invalid URI in request,Invalid URI (bad client request).
"apache,",File name too long|request failed: URI too long,"Invalid URI, file name too long."
"apache,",mod_security: Access denied|ModSecurity: Access denied,Access attempt blocked by Mod Security.
"apache,",Resource temporarily unavailable:,Apache without resources to run.
"apache,",^mod_security-message:,Modsecurity alert.
"apache,",^mod_security-message: Access denied,Modsecurity access denied.
"apache,",[\S*:error],Apache error messages grouped.
"apache,",[\S+:warn],Apache warn messages grouped.
"apache,",[\S+:notice],Apache notice messages grouped.
"apache,",exit signal Segmentation Fault,Apache segmentation fault.
"apache,","['File does not exist: |', 'failed to open stream: No such file or directory|', 'Failed opening']",Attempt to access an non-existent file (those are reported on the access.log).
"apache,",PHP Notice:,PHP Notice in Apache log
"apache,",File name too long:,File name too long.
"apache,",Permission denied: | client denied by server configuration:,Permission denied.
"apache,",script not found,A script cannot be accessed.
"apache,",ModSecurity: Warning,ModSecurity Warning messages grouped
"apache,",ModSecurity: Access denied,ModSecurity Access denied messages grouped
"apache,",ModSecurity: Audit log:,ModSecurity Audit log messages grouped
"apache,",with code 403,ModSecurity rejected a query
"local,syslog,apparmor",apparmor=,Apparmor grouping
"local,syslog,apparmor",apparmor=,Apparmor DENIED
"syslog,arpwatch,",flip flop,"['Arpwatch ""flip flop"" message.', 'IP address/MAC relation changing too often.']"
"syslog,arpwatch,",reaper: pid,Arpwatch exiting.
"syslog,arpwatch,",changed ethernet address,Changed network interface for ip address.
"syslog,arpwatch,",bad interface eth0|exiting|Running as,Arpwatch startup/exiting messages.
"syslog,arpwatch,",sent bad addr len,Arpwatch detected bad address len (ignored).
"syslog,arpwatch,",/dev/bpf0: Permission denied,arpwatch probably run with wrong permissions
"syslog,arpwatch,",reused old ethernet address,An IP has reverted to an old ethernet address.
"syslog,arpwatch,",ethernet mismatch,Possible arpspoofing attempt.
"syslog,asterisk,",^NOTICE,Asterisk notice messages grouped.
"syslog,asterisk,",^WARN,Asterisk warning message.
"syslog,asterisk,",^ERROR,Asterisk error message.
"syslog,asterisk,",Wrong password,Login session failed.
"syslog,asterisk,",Username/auth name mismatch,Login session failed (invalid user).
"syslog,asterisk,",No matching peer found,Login session failed (invalid extension).
"syslog,asterisk,",No registration for peer,Login session failed (invalid iax user).
"syslog,asterisk,",Don't know how to respond via,Possible Registration Hijacking.
"syslog,asterisk,",failed MD5 authentication,IAX peer Wrong Password.
