serial_no,open_date,b1,b2,b3,b4,b5,r1,r2
2019025,2019-03-06 (三),06,13,16,19,29,03,07
2019024,2019-03-04 (一),11,17,19,29,33,08,09
2019023,2019-03-02 (六),01,03,14,26,30,06,11
2019022,2019-02-27 (三),01,04,14,15,21,01,05
2019021,2019-02-25 (一),07,13,17,24,33,01,10
2019020,2019-02-23 (六),01,08,16,27,34,03,12
2019019,2019-02-20 (三),04,11,19,25,32,01,02
2019018,2019-02-18 (一),03,18,19,26,34,06,12
2019017,2019-02-16 (六),01,05,07,22,25,03,04
2019016,2019-02-13 (三),03,05,13,16,28,02,06
2019015,2019-02-11 (一),02,05,10,13,30,04,06
2019014,2019-02-02 (六),12,14,20,28,31,09,11
2019013,2019-01-30 (三),08,10,15,17,18,01,08
2019012,2019-01-28 (一),05,09,17,18,19,07,10
2019011,2019-01-26 (六),04,12,13,16,17,04,09
2019010,2019-01-23 (三),03,07,24,25,27,02,12
2019009,2019-01-21 (一),03,09,15,18,26,06,12
2019008,2019-01-19 (六),03,08,17,20,24,06,11
2019007,2019-01-16 (三),03,12,16,29,32,01,05
2019006,2019-01-14 (一),14,17,19,25,30,04,08
2019005,2019-01-12 (六),21,26,27,29,34,05,06
2019004,2019-01-09 (三),15,16,17,31,32,03,09
2019003,2019-01-07 (一),04,08,18,20,32,10,12
2019002,2019-01-05 (六),02,07,14,22,31,01,07
2019001,2019-01-02 (三),06,18,23,26,28,03,12
2018154,2018-12-31 (一),14,22,23,26,30,03,05
2018153,2018-12-29 (六),03,06,07,08,21,01,08
2018152,2018-12-26 (三),02,04,05,12,28,08,11
2018151,2018-12-24 (一),04,08,18,29,30,03,07
2018150,2018-12-22 (六),05,12,13,31,34,10,12
2018149,2018-12-19 (三),01,07,10,11,20,03,06
2018148,2018-12-17 (一),02,06,24,33,34,02,03
2018147,2018-12-15 (六),01,11,26,33,35,02,10
2018146,2018-12-12 (三),03,08,09,13,33,01,02
2018145,2018-12-10 (一),09,18,29,31,33,06,11
2018144,2018-12-08 (六),06,17,18,24,31,07,11
2018143,2018-12-05 (三),04,07,20,22,33,01,02
2018142,2018-12-03 (一),19,24,28,29,34,10,11
2018141,2018-12-01 (六),03,07,23,26,33,04,09
2018140,2018-11-28 (三),01,06,08,12,15,03,04
2018139,2018-11-26 (一),05,11,16,28,35,06,09
2018138,2018-11-24 (六),01,23,24,28,33,04,05
2018137,2018-11-21 (三),07,10,22,23,33,08,11
2018136,2018-11-19 (一),03,11,12,19,21,05,11
2018135,2018-11-17 (六),14,19,23,27,34,06,12
2018134,2018-11-14 (三),04,05,19,31,35,02,12
2018133,2018-11-12 (一),08,12,14,15,19,01,10
2018132,2018-11-10 (六),03,16,22,23,27,01,04
2018131,2018-11-07 (三),12,14,21,32,33,02,11
2018130,2018-11-05 (一),03,04,16,18,25,01,11
2018129,2018-11-03 (六),04,07,21,22,29,03,06
2018128,2018-10-31 (三),11,12,14,16,26,08,09
2018127,2018-10-29 (一),01,03,04,11,29,08,12
2018126,2018-10-27 (六),11,13,15,21,27,05,06
2018125,2018-10-24 (三),07,16,20,21,34,04,06
2018124,2018-10-22 (一),08,10,12,19,20,10,11
2018123,2018-10-20 (六),06,09,29,32,35,02,04
2018122,2018-10-17 (三),08,09,21,30,31,05,12
2018121,2018-10-15 (一),06,07,21,29,30,01,10
2018120,2018-10-13 (六),21,22,25,27,30,08,09
2018119,2018-10-10 (三),06,09,11,16,35,02,05
2018118,2018-10-08 (一),04,05,14,21,34,06,09
2018117,2018-10-06 (六),07,11,13,22,29,03,08
2018116,2018-10-03 (三),01,14,17,21,33,07,10
2018115,2018-10-01 (一),02,06,13,18,25,01,02
2018114,2018-09-29 (六),12,18,26,28,29,05,06
2018113,2018-09-26 (三),08,12,27,31,33,04,08
2018112,2018-09-24 (一),03,07,08,09,29,09,10
2018111,2018-09-22 (六),03,16,27,28,32,04,05
2018110,2018-09-19 (三),06,19,21,27,28,03,11
2018109,2018-09-17 (一),10,16,23,25,34,02,05
2018108,2018-09-15 (六),09,10,24,31,32,07,12
2018107,2018-09-12 (三),07,08,09,10,22,03,04
2018106,2018-09-10 (一),04,14,17,24,31,01,04
2018105,2018-09-08 (六),01,16,19,20,31,02,07
2018104,2018-09-05 (三),01,13,14,26,28,07,11
2018103,2018-09-03 (一),14,24,26,28,35,02,03
2018102,2018-09-01 (六),06,07,13,22,24,10,12
2018101,2018-08-29 (三),03,14,15,23,29,04,05
2018100,2018-08-27 (一),06,20,21,26,30,06,09
2018099,2018-08-25 (六),12,13,16,20,21,01,07
2018098,2018-08-22 (三),02,15,18,25,27,05,07
2018097,2018-08-20 (一),10,12,14,18,23,01,04
2018096,2018-08-18 (六),13,14,20,28,34,06,10
2018095,2018-08-15 (三),07,14,18,29,35,05,12
2018094,2018-08-13 (一),11,16,25,30,34,08,10
2018093,2018-08-11 (六),03,11,16,18,33,03,11
2018092,2018-08-08 (三),05,07,14,18,19,04,10
2018091,2018-08-06 (一),06,22,26,28,31,01,07
2018090,2018-08-04 (六),06,20,24,33,34,04,11
2018089,2018-08-01 (三),26,27,28,32,34,06,10
2018088,2018-07-30 (一),08,09,21,25,33,01,08
2018087,2018-07-28 (六),03,14,19,23,25,01,04
2018086,2018-07-25 (三),16,22,24,29,31,04,05
2018085,2018-07-23 (一),01,02,14,25,31,05,07
2018084,2018-07-21 (六),06,11,17,22,35,11,12
2018083,2018-07-18 (三),07,12,25,27,28,10,11
2018082,2018-07-16 (一),01,02,14,17,18,08,10
2018081,2018-07-14 (六),02,10,13,21,35,01,12
2018080,2018-07-11 (三),07,16,24,26,31,10,11
2018079,2018-07-09 (一),03,04,10,27,29,01,05
2018078,2018-07-07 (六),07,11,12,22,30,03,06
2018077,2018-07-04 (三),01,06,09,15,26,08,09
2018076,2018-07-02 (一),07,18,28,29,32,06,08
2018075,2018-06-30 (六),01,06,12,20,34,04,12
2018074,2018-06-27 (三),03,09,12,28,30,04,12
2018073,2018-06-25 (一),13,19,24,25,29,02,08
2018072,2018-06-23 (六),05,12,17,24,26,01,02
2018071,2018-06-20 (三),02,05,23,30,31,03,09
2018070,2018-06-18 (一),02,05,10,16,30,04,07
2018069,2018-06-16 (六),01,08,13,21,24,02,11
2018068,2018-06-13 (三),08,12,16,26,33,05,06
2018067,2018-06-11 (一),03,07,12,18,31,07,10
2018066,2018-06-09 (六),01,20,23,32,33,01,04
2018065,2018-06-06 (三),07,10,28,31,32,08,10
2018064,2018-06-04 (一),01,03,04,11,29,02,04
2018063,2018-06-02 (六),05,14,15,32,34,03,10
2018062,2018-05-30 (三),12,14,19,23,35,02,07
2018061,2018-05-28 (一),04,10,12,28,31,08,11
2018060,2018-05-26 (六),04,22,27,29,31,02,10
